1,1gve,Rattus norvegicus
1,1kyq,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
1,1nec,Enterobacter cloacae
1,1og6,Escherichia coli (strain K12)
1,1pjq,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
1,1pjs,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
1,1pjt,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
1,1r6y,Escherichia coli (strain K12)
1,1rtt,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)
1,1tuv,Escherichia coli (strain K12)
1,1ur3,Escherichia coli (strain K12)
1,1wd6,Escherichia coli (strain K12)
1,1wly,Burkholderia sp
1,1x77,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)
1,1xxo,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
1,1y0z,Arabidopsis thaliana
1,1y30,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
1,1ycf,Moorella thermoacetica (strain ATCC 39073 / JCM 9320)
1,1ycg,Moorella thermoacetica (strain ATCC 39073 / JCM 9320)
1,1ych,Moorella thermoacetica (strain ATCC 39073 / JCM 9320)
1,1ydw,Arabidopsis thaliana
1,1zch,Bacillus subtilis (strain 168)
1,1zpu,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
1,2aq6,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
1,2asy,Escherichia coli (strain K12)
1,2c91,Mus musculus
1,2com,Homo sapiens
1,2dw4,Homo sapiens
1,2ejr,Homo sapiens
1,2fqd,Escherichia coli (strain K12)
1,2fqe,Escherichia coli (strain K12)
1,2fqf,Escherichia coli (strain K12)
1,2fqg,Escherichia coli (strain K12)
1,2h94,Homo sapiens
1,2hay,Streptococcus pyogenes serotype M1
1,2hiq,Escherichia coli (strain K12)
1,2hko,Homo sapiens
1,2iw5,Homo sapiens
1,2j8z,Homo sapiens
1,2klb,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
1,2l3d,Homo sapiens
1,2lqo,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
1,2lqq,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
1,2o8v,Escherichia coli (strain K12)
1,2oby,Homo sapiens
